Sat May 09 00:48:11 +0000 2020,"b'Muere enfermera de IMSS 36 en Coatzacoalcos por contagio COVID19, ya suman4 https://t.co/n1Phen83eJ'",CuartaRepublic1,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",,48,155,0,0,
Sat May 09 00:48:11 +0000 2020,b'RT @AyoBankole: Italy has been reported to have discovered an antibody vaccine for #COVID19. Tests carried out at Romes Lazzaro Spallanzan',4EyedLiwa_,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ile-de-France, France",2337,2324,0,0,
Sat May 09 00:48:11 +0000 2020,"b""RT @RVAwonk: Pictured below (on the right) is Katie Miller -- Mike Pence's press secretary who just tested positive for #COVID19 -- at the""",ourvalues2017,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Daytona Beach, FL",4090,4891,0,0,
Sat May 09 00:48:11 +0000 2020,b'RT @CNC_HGO: #PrevencinEsSalud | Adopta normas diarias de higiene y medidas que disminuyan el riesgo de contagio. Cuidemos a nuestras fami',VJAMineral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mineral de la Reforma, HGO",17,92,0,0,
Sat May 09 00:48:11 +0000 2020,"b'RT @profhelenward: Very useful thread, thank you @mugecevik . \nQuestion to @PHE_uk: where is transmission continuing in the UK?'",freesandstorm,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",New york,58,403,0,0,
Sat May 09 00:48:11 +0000 2020,"b'RT @MazzoleniJulio: Informe #COVID19 | 8 de mayo: procesamos 750 muestras, 101 positivos: 98 del exterior (97 de Brasil, 1 de Europa, en cu'",diego_peter03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Central, Paraguay",652,367,0,0,
Sat May 09 00:48:11 +0000 2020,b'RT @yanicomocte: Pos no que ya haban aplanado la curva con su crecimiento horizontal?',angeliux22,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Donde la vida no vale n'a,1361,1461,0,0,
Sat May 09 00:48:11 +0000 2020,b'RT @HLGatell: Conferencia de prensa de la @SSalud_mx. Actualizacin del #COVID19 en Mxico. Viernes 8 de mayo 2020. https://t.co/1u1fc5DiwK',EfrainMoralesL,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,52,210,0,0,
Sat May 09 00:48:11 +0000 2020,b'RT @rocionahle: #GraciasPorCuidarnos',chivisgato2004,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,1529,4856,0,0,
Sat May 09 00:48:11 +0000 2020,"b'RT @Naziraasalim: The reason why the headline targeted Malaysia is bcoz we accepted them more than once. So when we decided to stop, they b'",juliadrna,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,1001,405,0,0,
Sat May 09 00:48:11 +0000 2020,"b'RT @DrSuzyFeigofsky: Today, my med school classmate, a fellow cardiologist was laid to rest.\nDr. Glenn Barquet was a selfless, humble man w'",PagingDr_Sawyer,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",In your textbooks,1496,1024,0,0,
Sat May 09 00:48:12 +0000 2020,b'RT @MiguelVelarde: La buena noticia es que la papaya ya est en cuarentena y en franca recuperacin. Unos grandes los de la #OMS https://t.',alejanVill,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Distrito Capital, Venezuela",1569,4902,0,0,
Sat May 09 00:48:12 +0000 2020,b'Conferencia ',KejelD,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Distrito Federal, México",5,18,0,0,
Sat May 09 00:48:12 +0000 2020,"b'RT @EmcoChile: Estas ltimas semanas, el jefe del @EmcoChile, junto al ministro @albertoespina, han viajado a distintas regiones del pas'",Informa_100,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Chile,8748,929,0,0,
Sat May 09 00:48:12 +0000 2020,"b""RT @SammyHudes: BREAKING: An inmate at the Calgary Remand Centre has tested positive for #COVID19. It's Alberta's first case at a correctio""",ProgressAlberta,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Alberta,11369,6407,0,0,
Sat May 09 00:48:12 +0000 2020,b'RT @sqwabb: @martindunphy @VancouverPD @kennedystewart Same mayor who called on #BritishColumbia to ban all tenant evictions cuz of #COVID1',martindunphy,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Vancouver,998,200,0,0,
